# 【十字路口】开源出发，也能干到 6 亿美金估值 | 对谈星爵: Zilliz 创始人/CEO【视频播客】
# BV: BV1kMbKzVEFn | UP: Koji杨远骋at十字路口 | 时长: 2667s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周「十字路口」的嘉宾，是 Zilliz 创始人兼 CEO 星爵。Zilliz 是世界领先的向量数据库企业，估值 6 亿美金。
在 2023 年 GTC 大会上，Zilliz 被黄仁勋点名推荐，作为 AI 大模型基础设施，向量数据库一夜之间成为所有人关注焦点。
➤ 星爵在年初一篇访谈里说：“我们没有对手”，霸气侧漏。
但 Zilliz 不是横空出世的。2018 年，他就开始做 Zilliz，目标是构建处理非结构化数据的基础设施。
Zilliz 一直坚定走开源路线。在本期播客中，星爵和我们分享了他为什么要开源、开源好在哪里、坑在哪里，以及最重要的：开源要怎么赚钱？
本期内容同样适合所有技术背景的创业者。星爵分享了自己从工程师蜕变为 CEO 的历程：
▌在变得更现实，更懂博弈之后，发现自己的核心竞争力仍构建在“技术世界需要理想主义”之上。
—
➤ 嘉宾介绍：星爵，Zilliz 创始人兼 C
[00:32:32 -> 00:32:34] 你觉得做到什么样的水平
[00:32:34 -> 00:32:36] 你会觉得这一次满意了
[00:32:36 -> 00:32:38] 因为其实这已经是第7年第8年了
[00:32:39 -> 00:32:41] 其实还是青春当中
[00:32:41 -> 00:32:43] 已经投入了非常多时间
[00:32:43 -> 00:32:45] 可能接下来还要再投入很多时间
[00:32:45 -> 00:32:47] 你对它的期待
[00:32:47 -> 00:32:49] 你的期许就成功是什么
[00:32:49 -> 00:32:52] 我希望我们其实有幸来说的话
[00:32:52 -> 00:32:56] 成为全球第一个去探索非结构化数据处理
[00:32:56 -> 00:32:58] 探索向量数据库的
[00:32:58 -> 00:33:00] 我希望到我退休的那一天的话
[00:33:00 -> 00:33:01] 我回顾这段里程的话
[00:33:01 -> 00:33:04] 我们不只是一个先驱者
[00:33:04 -> 00:33:06] 我们还是一个集大成者
[00:33:06 -> 00:33:07] 我们还是一个成功者
[00:33:07 -> 00:33:08] 你有这样的恐惧吗
[00:33:08 -> 00:33:10] 就是成了先驱
[00:33:10 -> 00:33:14] 但最后没有成为最后的领先集大成者
[00:33:14 -> 00:33:16] 栽到最后的果实的人
[00:33:16 -> 00:33:17] 有
[00:33:17 -> 00:33:18] 因为首先的话
[00:33:18 -> 00:33:21] 你走在一个这种无人的赛道里面来说的话
[00:33:21 -> 00:33:23] 你作为第一个创新者的话
[00:33:23 -> 00:33:26] 你就是首先你要面对恐惧感
[00:33:26 -> 00:33:29] 技术更新迭代的一个长期的压力
[00:33:29 -> 00:33:31] 而在AI这个时代里面的话
[00:33:31 -> 00:33:32] 这所有东西又被加速了
[00:33:32 -> 00:33:34] 基本上任何一个领域里面
[00:33:34 -> 00:33:35] 另外就是说
[00:33:35 -> 00:33:37] 做创新者来说的话
[00:33:37 -> 00:33:39] 你可能要尝试1000种方法
[00:33:39 -> 00:33:42] 然后要排除里面的999种
[00:33:42 -> 00:33:44] 留下那一种能够work
[00:33:44 -> 00:33:46] 但是作为一个follow的话
[00:33:46 -> 00:33:49] 他就照着你成功的这个事情再做一次就好了
[00:33:49 -> 00:33:53] 唯有这种你能够长期的去保持你的创新
[00:33:53 -> 00:33:55] 然后迅速去迭代你的产品
[00:33:55 -> 00:33:57] 这是你一个长期的一个竞争力
[00:33:57 -> 00:34:00] 你在公司内部用什么样的方式
[00:34:00 -> 00:34:01] 不管是管理上还是文化上
[00:34:01 -> 00:34:03] 还是其他什么层面的
[00:34:03 -> 00:34:05] 来保证公司
[00:34:05 -> 00:34:08] 一个7年的公司还可以持续的创新迭代
[00:34:08 -> 00:34:11] 我觉得创新是不能靠管理的
[00:34:11 -> 00:34:13] 就一管就死
[00:34:13 -> 00:34:13] 对
[00:34:13 -> 00:34:16] 如果你要做一个创新的公司
[00:34:16 -> 00:34:20] 那你就去招这些有创新精神的
[00:34:20 -> 00:34:22] 愿意去创新的
[00:34:22 -> 00:34:25] 愿意去快速迭代的一些小伙伴来加入你们
[00:34:25 -> 00:34:26] 对不对
[00:34:26 -> 00:34:27] 到现在创业8年了
[00:34:27 -> 00:34:31] 有什么你特别想对8年前刚开始做的自己说的话吗
[00:34:31 -> 00:34:34] 我也许会劝8年前自己就不要创业
[00:34:34 -> 00:34:39] 因为创业的确比你想象中要难太多太多了
[00:34:39 -> 00:34:42] 你基本上停不下来
[00:34:42 -> 00:34:44] 基本上你解决了一个问题
[00:34:44 -> 00:34:46] 然后第二天就有新的问题
[00:34:46 -> 00:34:49] 然后你解决了一个层次的问题
[00:34:49 -> 00:34:50] 你就会有新的问题
[00:34:50 -> 00:34:52] 公司的每一个阶段
[00:34:52 -> 00:34:54] 每一个发展阶段
[00:34:54 -> 00:34:56] 每一个轮次
[00:34:56 -> 00:34:58] 每一个三月化的不同的这种阶段
[00:34:58 -> 00:35:00] 都会有不同的问题
[00:35:00 -> 00:35:03] 所以创业这条路来说的话
[00:35:03 -> 00:35:04] 我会对自己说的话
[00:35:04 -> 00:35:05] 如果你选择这条路
[00:35:05 -> 00:35:09] 那希望这个事情是你的一个lifestyle
[00:35:09 -> 00:35:10] 是你一辈子想做的事情
[00:35:10 -> 00:35:12] 要不然的话你可能会崩溃
[00:35:12 -> 00:35:16] 你最接近崩溃的时间是什么时候
[00:35:16 -> 00:35:16] 基本上
[00:35:16 -> 00:35:20] 可能最坏的情况下每一天会有几次
[00:35:20 -> 00:35:22] 好的情况下的话
[00:35:22 -> 00:35:26] 可能至少每一两个星期会有一次
[00:35:26 -> 00:35:29] 其实你公司已经做到6亿美金的估值了
[00:35:29 -> 00:35:32] 这在很多人看来已经是一个很好的成就了
[00:35:32 -> 00:35:34] 但是你还在如此频繁的陷入崩溃
[00:35:34 -> 00:35:39] 可不可以讲一个你最近一次感到崩溃的故事
[00:35:39 -> 00:35:40] 想一想
[00:35:40 -> 00:35:42] 过去差不多两年的时间里面的话
[00:35:42 -> 00:35:45] 是整个化业里面经历的困难最多的
[00:35:45 -> 00:35:46] 因为在两年之前
[00:35:47 -> 00:35:48] 说的话我们都是做产品
[00:35:48 -> 00:35:49] 做开源
[00:35:49 -> 00:35:50] 在做技术
[00:35:50 -> 00:35:53] 基本上是在自己的一个舒适的一个区里面
[00:35:53 -> 00:35:55] 然后在过去的两年的话
[00:35:55 -> 00:35:57] 公司第一次做商业化
[00:35:57 -> 00:36:00] 对于一个像我们这么强工程师背景的团队来讲的话
[00:36:00 -> 00:36:03] 我们大部分的同学之前也没接触过商业化
[00:36:03 -> 00:36:06] 并且我们还要给自己高的一个增长
[00:36:06 -> 00:36:07] 对
[00:36:07 -> 00:36:10] 这个时候其实压力是特别大的
[00:36:10 -> 00:36:13] 在过去的像2024年的话
[00:36:13 -> 00:36:15] 市场发生了一些调整
[00:36:15 -> 00:36:15] 对
[00:36:15 -> 00:36:16] 有一些
[00:36:17 -> 00:36:18] 这种经营的公司的话
[00:36:18 -> 00:36:19] 他这个就死掉了
[00:36:19 -> 00:36:22] 这个东西的话就跟我们做的好不好
[00:36:22 -> 00:36:23] 没有什么关系
[00:36:23 -> 00:36:24] 你们有一些客户突然就消失了
[00:36:24 -> 00:36:26] 对
[00:36:26 -> 00:36:30] 曾经是当时是我们也是蛮大的一个客户
[00:36:30 -> 00:36:35] 也是美国AI的最头部的公司
[00:36:35 -> 00:36:37] 然后他马上陷入了一个困境的
[00:36:37 -> 00:36:38] 所以的话
[00:36:38 -> 00:36:41] 在过去18个月里面是经历了一波这种回调
[00:36:41 -> 00:36:44] 前面的10大的客户流失掉了
[00:36:44 -> 00:36:45] 然后你还要增长
[00:36:45 -> 00:36:46] 你要搞更多的客户
[00:36:46 -> 00:36:49] 要填他们流失的这个坑
[00:36:49 -> 00:36:53] 然后还有更多的客户能够维持你这个增长这个趋势
[00:36:53 -> 00:36:54] 那就真的就是觉得
[00:36:54 -> 00:36:55] 哎呀
[00:36:55 -> 00:36:56] 这个就很痛苦
[00:36:56 -> 00:36:57] 并且整个团队来说的话
[00:36:57 -> 00:36:59] 因为也是第一次做商业化
[00:36:59 -> 00:37:01] 然后的话
[00:37:01 -> 00:37:07] 在很多的这种组织架构流程也在一边做一边在搭建
[00:37:07 -> 00:37:10] 基本上就是在一边开飞机
[00:37:10 -> 00:37:11] 一边还要换引擎
[00:37:11 -> 00:37:12] 还要做组装
[00:37:12 -> 00:37:15] 这段时间是相当痛苦的
[00:37:15 -> 00:37:16] 嗯
[00:37:16 -> 00:37:20] 那做到现在有一些什么样的心得了吗
[00:37:20 -> 00:37:23] 就是作为工程师背景的创始人
[00:37:23 -> 00:37:25] 可能之前也都不需要全面的客户
[00:37:25 -> 00:37:26] 不需要去做销售
[00:37:26 -> 00:37:30] 但做到现在你开始有了一些这个技巧也好
[00:37:30 -> 00:37:31] 方法论也好
[00:37:31 -> 00:37:33] 这个可以分享了吗
[00:37:33 -> 00:37:34] 我觉得首先来说的话
[00:37:34 -> 00:37:36] 你肯定是要找到合适的人
[00:37:36 -> 00:37:38] 我们可以在招人上面花更多的时间
[00:37:38 -> 00:37:39] 嗯
[00:37:39 -> 00:37:41] 对虽然说我们招人上面已经花了很多时间
[00:37:41 -> 00:37:42] 但是我觉得呃
[00:37:42 -> 00:37:45] 你永远不要认为你在招人上面
[00:37:45 -> 00:37:46] 你花了足够多的时间
[00:37:46 -> 00:37:50] 然后第二个就是说在商业化
[00:37:50 -> 00:37:51] 也没有什么好恐惧的
[00:37:51 -> 00:37:53] 我再做一次
[00:37:53 -> 00:37:55] 我可能一样的会经历这个痛苦的这个阶段
[00:37:55 -> 00:37:55] 嗯
[00:37:55 -> 00:37:57] 可能犯的错误不一样
[00:37:57 -> 00:37:58] 你就坦然接受吧
[00:37:58 -> 00:37:58] 嗯
[00:37:58 -> 00:37:58] 呃
[00:37:58 -> 00:38:01] 更多的来说的话就是说呃
[00:38:01 -> 00:38:04] 在错误中能够迅速的能够恢复过来
[00:38:04 -> 00:38:07] 能够迅速的能够去调整
[00:38:07 -> 00:38:07] 嗯
[00:38:07 -> 00:38:07] 呃
[00:38:07 -> 00:38:09] 既调整自己的心态
[00:38:09 -> 00:38:11] 也调整整个团队的心态
[00:38:11 -> 00:38:14] 让整个团队的士气不要失去
[00:38:14 -> 00:38:16] 怎么能够让团队的士气
[00:38:16 -> 00:38:18] 在遭受打击的时候不要低落
[00:38:18 -> 00:38:20] 这个你有什么办法
[00:38:20 -> 00:38:21] 最终还是打身子
[00:38:21 -> 00:38:22] 不要重复的犯错误
[00:38:22 -> 00:38:24] 一定要尽快的从一个错误里面找到经验
[00:38:24 -> 00:38:25] 能够跳出来
[00:38:25 -> 00:38:25] 嗯
[00:38:25 -> 00:38:26] 呃
[00:38:26 -> 00:38:27] 这是第一个呃
[00:38:27 -> 00:38:30] 第二个就是说我们最终的目标
[00:38:30 -> 00:38:32] 就是要少犯错误
[00:38:32 -> 00:38:34] 现在其实就我们的现在技术啊
[00:38:34 -> 00:38:35] 产品啊
[00:38:35 -> 00:38:36] 都有领先的优势
[00:38:36 -> 00:38:37] 我们增长也不错
[00:38:37 -> 00:38:37] 嗯
[00:38:37 -> 00:38:37] 呃
[00:38:37 -> 00:38:39] 这个时候就是说你要
[00:38:39 -> 00:38:42] 你要有更好的一个战略的一个定力跟
[00:38:42 -> 00:38:44] 跟思考决定什么要做
[00:38:44 -> 00:38:45] 什么你不要做
[00:38:45 -> 00:38:49] 避免犯太大的原原则性的错误
[00:38:49 -> 00:38:50] 我们每个人都不完美
[00:38:50 -> 00:38:54] 我们要我们要学会跟自己达成一个
[00:38:54 -> 00:38:55] 和解
[00:38:55 -> 00:38:55] 对
[00:38:55 -> 00:38:58] 要不然的话你自己会把自己给击垮
[00:38:58 -> 00:38:59] 嗯
[00:38:59 -> 00:39:01] 你自己从内部把自己给击垮了
[00:39:01 -> 00:39:01] 嗯
[00:39:01 -> 00:39:01] 对
[00:39:01 -> 00:39:03] 所以先接受自己的不完美
[00:39:03 -> 00:39:05] 我看历史上很多的竞争
[00:39:05 -> 00:39:07] 最终不在于你做了什么
[00:39:07 -> 00:39:10] 可能在一个极度的压力的情况下的话
[00:39:10 -> 00:39:12] 你的对手可能比你多犯了两个错误
[00:39:12 -> 00:39:14] 现在有什么
[00:39:14 -> 00:39:14] 道理
[00:39:14 -> 00:39:15] 或者有什么话
[00:39:15 -> 00:39:18] 是你八年前特别相信
[00:39:18 -> 00:39:20] 但现在已经totally不相信的吗
[00:39:20 -> 00:39:23] 我在创业之前
[00:39:23 -> 00:39:27] 我绝大部分是一个理想主义者
[00:39:27 -> 00:39:28] 嗯
[00:39:28 -> 00:39:28] 对
[00:39:28 -> 00:39:32] 但是这过去这八年的这个这个创业啊
[00:39:32 -> 00:39:39] 慢慢的已经退去了我作为理想者的这个彩色的这个外衣
[00:39:39 -> 00:39:44] 现在留下来的更多的是一个这种灰色的这个内衣
[00:39:44 -> 00:39:46] 有一个比较明确的
[00:39:46 -> 00:39:52] 就是某一个事情你想到他会觉得我过去理想主义的自己彩色的自己
[00:39:52 -> 00:39:52] 嗯
[00:39:52 -> 00:39:53] 会那么想那么做
[00:39:53 -> 00:39:58] 但现在同样一件事情放在今天穿着灰色内衣的自己
[00:39:58 -> 00:39:59] 可能就不会那么想不会那么做吗
[00:39:59 -> 00:40:02] 在团队建设跟管理这个层面
[00:40:02 -> 00:40:08] 你觉得就是完完全全透明的无话不说是个最好的管理方式
[00:40:08 -> 00:40:08] 嗯
[00:40:08 -> 00:40:09] 那现在看来的话
[00:40:09 -> 00:40:11] 就是说这个要针对于不同的人
[00:40:11 -> 00:40:11] 嗯
[00:40:11 -> 00:40:13] 针对不同的场景
[00:40:13 -> 00:40:15] 也针对不同的团队的规模跟不同的阶段
[00:40:15 -> 00:40:16] 成绩我也觉得就是说呢
[00:40:16 -> 00:40:19] 就是说一个最好的公司是不需要管理的
[00:40:19 -> 00:40:20] 嗯
[00:40:20 -> 00:40:21] 你就不应该有管理
[00:40:21 -> 00:40:21] 对不对
[00:40:21 -> 00:40:23] 但是你的团队越来越大以后
[00:40:23 -> 00:40:24] 你会觉得就是说
[00:40:24 -> 00:40:25] 这个管理还是需要的
[00:40:25 -> 00:40:29] 曾经我自己做个理想主义者会把管理跟那个跟官僚
[00:40:29 -> 00:40:31] 可能商务号会画一个等号
[00:40:31 -> 00:40:31] 是吧
[00:40:31 -> 00:40:34] 扫一层管理就扫一层官僚
[00:40:34 -> 00:40:34] 嗯
[00:40:34 -> 00:40:36] 但是现在来看来说的话
[00:40:36 -> 00:40:37] 就是说管理真的是一门科学
[00:40:37 -> 00:40:39] 如果回到技术这个层面来讲的话
[00:40:39 -> 00:40:41] 作为一个工程师来讲的话
[00:40:41 -> 00:40:41] 呃
[00:40:41 -> 00:40:44] 你追求自己的类类型的愉悦感
[00:40:44 -> 00:40:45] 那肯定是创新
[00:40:45 -> 00:40:46] 永无止境
[00:40:46 -> 00:40:46] 嗯
[00:40:46 -> 00:40:48] 我不停的做得更好
[00:40:48 -> 00:40:48] 对不对
[00:40:48 -> 00:40:50] 但是从一个商业世界里面来说的话
[00:40:50 -> 00:40:51] 这就是说
[00:40:51 -> 00:40:54] 你你足够好就可以了
[00:40:54 -> 00:40:57] 你比对手好好那么一些
[00:40:57 -> 00:40:58] 也不要好太多
[00:40:58 -> 00:40:59] 嗯
[00:40:59 -> 00:40:59] 就可以了
[00:40:59 -> 00:41:00] 对
[00:41:00 -> 00:41:01] 所以所以从这一点来说的话
[00:41:01 -> 00:41:03] 就是说嗯
[00:41:03 -> 00:41:03] 坦白讲
[00:41:03 -> 00:41:08] 就是说我我们也知道像现在像像曾经的话
[00:41:08 -> 00:41:11] 我们觉得像呃像英特的话就挤牙膏
[00:41:11 -> 00:41:11] 对不对
[00:41:11 -> 00:41:13] 他的创新的那个ccc
[00:41:13 -> 00:41:15] 那个cpu的这个创新
[00:41:15 -> 00:41:15] 在在
[00:41:15 -> 00:41:17] 迭代在挤牙膏
[00:41:17 -> 00:41:20] 现在那个呃现在英伟达基本也是慢慢的挤牙膏
[00:41:20 -> 00:41:21] 对不对
[00:41:21 -> 00:41:21] 是吧
[00:41:21 -> 00:41:27] 呃但是我觉得就是说这两家公司曾经可能都是在这个在这个硬件芯片里面
[00:41:27 -> 00:41:28] 最成功的公司
[00:41:28 -> 00:41:33] 就是说他们能够把握这个我三一化的节奏跟技术创新的节奏
[00:41:33 -> 00:41:35] 我在这个时间节点我足够好
[00:41:35 -> 00:41:40] 我领先于这个这个所有竞争对手就就可以了
[00:41:40 -> 00:41:44] 但是我个人觉得就是说在技术这个世界里面来说的话
[00:41:44 -> 00:41:45] 应该还是要多一点的
[00:41:45 -> 00:41:47] 这种理想主义的
[00:41:47 -> 00:41:49] 虽然说我现在慢慢的话
[00:41:49 -> 00:41:53] 那个那个理想主义的外衣已经所剩无几了
[00:41:53 -> 00:41:53] 对
[00:41:53 -> 00:41:54] 可能剩到少一点了
[00:41:54 -> 00:41:58] 但是我个人感觉就是说你是从哪一边出发的还是很重要的
[00:41:58 -> 00:42:03] 呃因为几年前我是从一个纯粹理想主义出发的
[00:42:03 -> 00:42:08] 就基本上呃除了追求技术的卓越呃其他东西都都不去想
[00:42:08 -> 00:42:08] 嗯
[00:42:08 -> 00:42:10] 这也但是这个反悔来说的话
[00:42:10 -> 00:42:11] 到今天为止的话
[00:42:11 -> 00:42:15] 也是也是我们公司现在赖以成功的一个根本
[00:42:15 -> 00:42:15] 所以我们现在有更好
[00:42:15 -> 00:42:16] 有更好的技术
[00:42:16 -> 00:42:17] 有更好的一个产品
[00:42:17 -> 00:42:18] 对
[00:42:18 -> 00:42:23] 但是我们现在的话要把整个公司呃打磨的更加那种商业化
[00:42:23 -> 00:42:25] 我现在那个变成三位
[00:42:25 -> 00:42:29] 当这个彩色的理想主义的都慢慢的退去的时候
[00:42:29 -> 00:42:33] 当这个灰色的这个现实主义对不对
[00:42:33 -> 00:42:36] 会左右你更越来越多的决定的时候
[00:42:36 -> 00:42:44] 你还是会在自己的内心的深处呃在你公司的某一个角落会保留下一片
[00:42:44 -> 00:42:45] 那种小小的一个天空
[00:42:45 -> 00:42:46] 嗯
[00:42:46 -> 00:42:47] 还是彩色的
[00:42:47 -> 00:42:48] 还是浪漫的
[00:42:48 -> 00:42:48] 嗯
[00:42:48 -> 00:42:49] 还是有情怀的
[00:42:49 -> 00:42:53] 在整个这个AI infra从大模型到infra到数据库
[00:42:53 -> 00:42:56] 就整个我们大的这个很泛的领域来说
[00:42:56 -> 00:42:59] 你目前最看好哪些公司
[00:42:59 -> 00:43:01] 如果你自己要不管买股票还是一级市场投资
[00:43:01 -> 00:43:03] 你会投哪些公司
[00:43:03 -> 00:43:04] 整个AI赛道里面
[00:43:04 -> 00:43:08] 我觉得像亚马像亚马逊的云平台肯定有更好的一个增长
[00:43:08 -> 00:43:12] 因为AI现在到了一个临界点来说的话
[00:43:12 -> 00:43:14] 最终的话是一个能源跟基建能力的一个表现
[00:43:14 -> 00:43:14] 最终的话是一个能源跟基建能力的一个表现
[00:43:14 -> 00:43:15] 最终的话是一个能源跟基建能力的一个表现
[00:43:15 -> 00:43:16] 对
[00:43:16 -> 00:43:17] 所以的话
[00:43:17 -> 00:43:18] 这个里面说的话
[00:43:18 -> 00:43:20] 像这些大的巨头来说的话
[00:43:20 -> 00:43:22] 它有它有它有资源嘛
[00:43:22 -> 00:43:23] 所以AI这一波
[00:43:23 -> 00:43:24] 我觉得判断的话
[00:43:24 -> 00:43:26] 对这种公有云的发展是有利的
[00:43:26 -> 00:43:28] 公有云可能会越来越重要
[00:43:28 -> 00:43:32] 接下来进行这种大规模的数据中心的话
[00:43:32 -> 00:43:35] 都是会成为云云的基础设施的一部分
[00:43:35 -> 00:43:36] 这是一块
[00:43:36 -> 00:43:38] 然后另外一块说的话
[00:43:38 -> 00:43:40] 大模型肯定是底座
[00:43:40 -> 00:43:41] 这就不用说了
[00:43:41 -> 00:43:43] 这个大模型公司肯定是那个
[00:43:43 -> 00:43:44] 尤其头部的几家
[00:43:44 -> 00:43:45] 另外一个来说的话
[00:43:45 -> 00:43:49] 我觉得说现在已经出现了一些比较好的AI的应用的一些公司
[00:43:49 -> 00:43:51] 对这些应用的一些公司来讲
[00:43:51 -> 00:43:52] 来说
[00:43:52 -> 00:43:54] 像我自己用的比较多的AI的工具的话
[00:43:54 -> 00:43:56] 就一个是ChatGPT
[00:43:56 -> 00:43:58] 一个是那个DeamSeek
[00:43:58 -> 00:43:59] 第三个就是Cursor
[00:43:59 -> 00:44:03] 我发现用Cursor其实管理自己的个人知识库
[00:44:03 -> 00:44:06] 然后用它去写文章都是很好的一个东西
[00:44:06 -> 00:44:08] 我现在基本上写东西我就不用握着了
[00:44:08 -> 00:44:09] 我用Cursor来写
[00:44:09 -> 00:44:09] 好
[00:44:09 -> 00:44:11] 今天谢谢星爵的时间
[00:44:11 -> 00:44:13] 十字路口录了一些非常硬核的播客
[00:44:13 -> 00:44:14] 那听到结尾
[00:44:14 -> 00:44:15] 应该大家都是
[00:44:15 -> 00:44:16] 真爱
[00:44:16 -> 00:44:20] 也希望这个Zilis可以继续有很好的发展
[00:44:20 -> 00:44:22] 可以继续保持300%的增长率
[00:44:22 -> 00:44:24] 也希望这个星爵有机会可以再来做客
[00:44:24 -> 00:44:25] 十字路口
[00:44:25 -> 00:44:26] 谢谢
